SensorType,hart,time
HRMLED RED,0.0,2017-05-13 23:38:45.054
HRMLED RED,42.0,2017-05-13 23:38:45.062
HRMLED RED,26.0,2017-05-13 23:38:45.072
HRMLED RED,48.0,2017-05-13 23:38:45.093
HRMLED RED,65.0,2017-05-13 23:38:45.094
HRMLED RED,31.0,2017-05-13 23:38:45.110
HRMLED RED,70.0,2017-05-13 23:38:45.127
HRMLED RED,31.0,2017-05-13 23:38:45.128
HRMLED RED,51.0,2017-05-13 23:38:45.143
HRMLED RED,40.0,2017-05-13 23:38:45.144
HRMLED RED,21.0,2017-05-13 23:38:45.159
HRMLED RED,43.0,2017-05-13 23:38:45.176
HRMLED RED,54.0,2017-05-13 23:38:45.176
HRMLED RED,32.0,2017-05-13 23:38:45.183
HRMLED RED,62.0,2017-05-13 23:38:45.195
HRMLED RED,25.0,2017-05-13 23:38:45.203
HRMLED RED,71.0,2017-05-13 23:38:45.228
HRMLED RED,50.0,2017-05-13 23:38:45.229
HRMLED RED,35.0,2017-05-13 23:38:45.233
HRMLED RED,48.0,2017-05-13 23:38:45.249
HRMLED RED,35.0,2017-05-13 23:38:45.253
HRMLED RED,38.0,2017-05-13 23:38:45.278
HRMLED RED,37.0,2017-05-13 23:38:45.280
HRMLED RED,30.0,2017-05-13 23:38:45.284
HRMLED RED,46.0,2017-05-13 23:38:45.312
HRMLED RED,38.0,2017-05-13 23:38:45.314
HRMLED RED,45.0,2017-05-13 23:38:45.315
HRMLED RED,68.0,2017-05-13 23:38:45.324
HRMLED RED,32.0,2017-05-13 23:38:45.335
HRMLED RED,60.0,2017-05-13 23:38:45.363
HRMLED RED,32.0,2017-05-13 23:38:45.366
HRMLED RED,37.0,2017-05-13 23:38:45.368
HRMLED RED,37.0,2017-05-13 23:38:45.375
HRMLED RED,19.0,2017-05-13 23:38:45.385
HRMLED RED,38.0,2017-05-13 23:38:45.398
HRMLED RED,58.0,2017-05-13 23:38:45.404
HRMLED RED,29.0,2017-05-13 23:38:45.414
HRMLED RED,64.0,2017-05-13 23:38:45.425
HRMLED RED,26.0,2017-05-13 23:38:45.435
HRMLED RED,63.0,2017-05-13 23:38:45.448
HRMLED RED,41.0,2017-05-13 23:38:45.455
HRMLED RED,29.0,2017-05-13 23:38:45.480
HRMLED RED,40.0,2017-05-13 23:38:45.481
HRMLED RED,33.0,2017-05-13 23:38:45.486
HRMLED RED,34.0,2017-05-13 23:38:45.505
HRMLED RED,45.0,2017-05-13 23:38:45.507
HRMLED RED,29.0,2017-05-13 23:38:45.531
HRMLED RED,58.0,2017-05-13 23:38:45.534
HRMLED RED,43.0,2017-05-13 23:38:45.536
HRMLED RED,40.0,2017-05-13 23:38:45.555
HRMLED RED,62.0,2017-05-13 23:38:45.555
HRMLED RED,27.0,2017-05-13 23:38:45.582
HRMLED RED,50.0,2017-05-13 23:38:45.582
HRMLED RED,31.0,2017-05-13 23:38:45.586
HRMLED RED,38.0,2017-05-13 23:38:45.600
HRMLED RED,37.0,2017-05-13 23:38:45.606
HRMLED RED,27.0,2017-05-13 23:38:45.617
HRMLED RED,44.0,2017-05-13 23:38:45.626
HRMLED RED,62.0,2017-05-13 23:38:45.655
HRMLED RED,33.0,2017-05-13 23:38:45.658
HRMLED RED,61.0,2017-05-13 23:38:45.660
HRMLED RED,26.0,2017-05-13 23:38:45.674
HRMLED RED,58.0,2017-05-13 23:38:45.678
HRMLED RED,38.0,2017-05-13 23:38:45.690
HRMLED RED,24.0,2017-05-13 23:38:45.698
HRMLED RED,43.0,2017-05-13 23:38:45.708
HRMLED RED,41.0,2017-05-13 23:38:45.723
HRMLED RED,26.0,2017-05-13 23:38:45.727
HRMLED RED,57.0,2017-05-13 23:38:45.739
HRMLED RED,28.0,2017-05-13 23:38:45.747
HRMLED RED,62.0,2017-05-13 23:38:45.758
HRMLED RED,45.0,2017-05-13 23:38:45.770
HRMLED RED,33.0,2017-05-13 23:38:45.778
HRMLED RED,43.0,2017-05-13 23:38:45.788
HRMLED RED,29.0,2017-05-13 23:38:45.798
HRMLED RED,34.0,2017-05-13 23:38:45.808
HRMLED RED,34.0,2017-05-13 23:38:45.820
HRMLED RED,28.0,2017-05-13 23:38:45.828
HRMLED RED,45.0,2017-05-13 23:38:45.843
HRMLED RED,36.0,2017-05-13 23:38:45.849
HRMLED RED,44.0,2017-05-13 23:38:45.862
HRMLED RED,56.0,2017-05-13 23:38:45.875
HRMLED RED,25.0,2017-05-13 23:38:45.879
HRMLED RED,52.0,2017-05-13 23:38:45.892
HRMLED RED,26.0,2017-05-13 23:38:45.901
HRMLED RED,44.0,2017-05-13 23:38:45.912
HRMLED RED,36.0,2017-05-13 23:38:45.921
HRMLED RED,23.0,2017-05-13 23:38:45.929
HRMLED RED,34.0,2017-05-13 23:38:45.939
HRMLED RED,54.0,2017-05-13 23:38:45.949
HRMLED RED,26.0,2017-05-13 23:38:45.959
HRMLED RED,60.0,2017-05-13 23:38:45.971
HRMLED RED,26.0,2017-05-13 23:38:45.979
HRMLED RED,55.0,2017-05-13 23:38:45.989
HRMLED RED,36.0,2017-05-13 23:38:45.999
HRMLED RED,25.0,2017-05-13 23:38:46.010
HRMLED RED,36.0,2017-05-13 23:38:46.024
HRMLED RED,38.0,2017-05-13 23:38:46.029
HRMLED RED,29.0,2017-05-13 23:38:46.042
HRMLED RED,45.0,2017-05-13 23:38:46.049
HRMLED RED,28.0,2017-05-13 23:38:46.060
HRMLED RED,56.0,2017-05-13 23:38:46.077
HRMLED RED,39.0,2017-05-13 23:38:46.080
HRMLED RED,34.0,2017-05-13 23:38:46.094
HRMLED RED,54.0,2017-05-13 23:38:46.100
HRMLED RED,27.0,2017-05-13 23:38:46.110
HRMLED RED,45.0,2017-05-13 23:38:46.123
HRMLED RED,29.0,2017-05-13 23:38:46.130
HRMLED RED,34.0,2017-05-13 23:38:46.141
HRMLED RED,40.0,2017-05-13 23:38:46.152
HRMLED RED,25.0,2017-05-13 23:38:46.161
HRMLED RED,35.0,2017-05-13 23:38:46.174
HRMLED RED,52.0,2017-05-13 23:38:46.181
HRMLED RED,24.0,2017-05-13 23:38:46.213
HRMLED RED,56.0,2017-05-13 23:38:46.214
HRMLED RED,28.0,2017-05-13 23:38:46.217
HRMLED RED,51.0,2017-05-13 23:38:46.229
HRMLED RED,37.0,2017-05-13 23:38:46.232
HRMLED RED,18.0,2017-05-13 23:38:46.245
HRMLED RED,37.0,2017-05-13 23:38:46.251
HRMLED RED,41.0,2017-05-13 23:38:46.262
HRMLED RED,23.0,2017-05-13 23:38:46.278
HRMLED RED,47.0,2017-05-13 23:38:46.282
HRMLED RED,30.0,2017-05-13 23:38:46.291
HRMLED RED,54.0,2017-05-13 23:38:46.301
HRMLED RED,36.0,2017-05-13 23:38:46.312
HRMLED RED,32.0,2017-05-13 23:38:46.326
HRMLED RED,35.0,2017-05-13 23:38:46.332
HRMLED RED,29.0,2017-05-13 23:38:46.343
HRMLED RED,37.0,2017-05-13 23:38:46.353
HRMLED RED,35.0,2017-05-13 23:38:46.363
HRMLED RED,35.0,2017-05-13 23:38:46.373
HRMLED RED,42.0,2017-05-13 23:38:46.386
HRMLED RED,34.0,2017-05-13 23:38:46.409
HRMLED RED,35.0,2017-05-13 23:38:46.413
HRMLED RED,58.0,2017-05-13 23:38:46.415
HRMLED RED,28.0,2017-05-13 23:38:46.423
HRMLED RED,46.0,2017-05-13 23:38:46.434
HRMLED RED,32.0,2017-05-13 23:38:46.449
HRMLED RED,42.0,2017-05-13 23:38:46.453
HRMLED RED,37.0,2017-05-13 23:38:46.467
HRMLED RED,22.0,2017-05-13 23:38:46.473
HRMLED RED,31.0,2017-05-13 23:38:46.484
HRMLED RED,44.0,2017-05-13 23:38:46.494
HRMLED RED,27.0,2017-05-13 23:38:46.503
HRMLED RED,54.0,2017-05-13 23:38:46.513
HRMLED RED,20.0,2017-05-13 23:38:46.523
HRMLED RED,60.0,2017-05-13 23:38:46.533
HRMLED RED,34.0,2017-05-13 23:38:46.544
HRMLED RED,27.0,2017-05-13 23:38:46.553
HRMLED RED,43.0,2017-05-13 23:38:46.564
HRMLED RED,33.0,2017-05-13 23:38:46.574
HRMLED RED,33.0,2017-05-13 23:38:46.585
HRMLED RED,38.0,2017-05-13 23:38:46.600
HRMLED RED,26.0,2017-05-13 23:38:46.604
HRMLED RED,40.0,2017-05-13 23:38:46.616
HRMLED RED,33.0,2017-05-13 23:38:46.624
HRMLED RED,38.0,2017-05-13 23:38:46.635
HRMLED RED,55.0,2017-05-13 23:38:46.649
HRMLED RED,26.0,2017-05-13 23:38:46.654
HRMLED RED,48.0,2017-05-13 23:38:46.664
HRMLED RED,29.0,2017-05-13 23:38:46.674
HRMLED RED,41.0,2017-05-13 23:38:46.684
HRMLED RED,39.0,2017-05-13 23:38:46.697
HRMLED RED,22.0,2017-05-13 23:38:46.704
HRMLED RED,33.0,2017-05-13 23:38:46.715
HRMLED RED,55.0,2017-05-13 23:38:46.724
HRMLED RED,27.0,2017-05-13 23:38:46.735
HRMLED RED,54.0,2017-05-13 23:38:46.764
HRMLED RED,30.0,2017-05-13 23:38:46.768
HRMLED RED,50.0,2017-05-13 23:38:46.772
HRMLED RED,31.0,2017-05-13 23:38:46.786
HRMLED RED,27.0,2017-05-13 23:38:46.789
HRMLED RED,39.0,2017-05-13 23:38:46.802
HRMLED RED,37.0,2017-05-13 23:38:46.806
HRMLED RED,33.0,2017-05-13 23:38:46.817
HRMLED RED,47.0,2017-05-13 23:38:46.825
HRMLED RED,27.0,2017-05-13 23:38:46.835
HRMLED RED,57.0,2017-05-13 23:38:46.848
HRMLED RED,40.0,2017-05-13 23:38:46.855
HRMLED RED,38.0,2017-05-13 23:38:46.865
HRMLED RED,50.0,2017-05-13 23:38:46.875
HRMLED RED,29.0,2017-05-13 23:38:46.885
HRMLED RED,42.0,2017-05-13 23:38:46.897
HRMLED RED,33.0,2017-05-13 23:38:46.906
HRMLED RED,33.0,2017-05-13 23:38:46.922
HRMLED RED,37.0,2017-05-13 23:38:46.927
HRMLED RED,25.0,2017-05-13 23:38:46.938
HRMLED RED,34.0,2017-05-13 23:38:46.954
HRMLED RED,52.0,2017-05-13 23:38:46.957
HRMLED RED,30.0,2017-05-13 23:38:46.973
HRMLED RED,54.0,2017-05-13 23:38:46.978
HRMLED RED,29.0,2017-05-13 23:38:46.989
HRMLED RED,45.0,2017-05-13 23:38:46.999
HRMLED RED,36.0,2017-05-13 23:38:47.006
HRMLED RED,24.0,2017-05-13 23:38:47.016
HRMLED RED,35.0,2017-05-13 23:38:47.026
HRMLED RED,46.0,2017-05-13 23:38:47.036
HRMLED RED,29.0,2017-05-13 23:38:47.049
HRMLED RED,49.0,2017-05-13 23:38:47.056
HRMLED RED,25.0,2017-05-13 23:38:47.068
